RecipeName,BaseServings,Ingredient,Quantity,Unit,Category,Method
MEATBALLS,10,MEATLOAF MIX,2,LB,PROTEINS,MIX MILK AND BREADCRUMBS TO FORM A PANADE AND MIX THORUOGHLY WITH MEATLOAF MIX UNTIL HOMOGENOUS. ADD ALL OTHER INGREDIENTS AND REPEAT. PORTION WITH 70 SCOOP ONTO SHEET TRAY WITH PARCHMENT. ROLL INTO BALLS UNTIL UNIFORM. BAKE IN THE OVEN AT 350 FOR 15 MINUTES.
MEATBALLS,10,EGGS,2,PCS,DAIRY,
MEATBALLS,10,PARMESAN CHEESE,0.5,CUP,DAIRY,
MEATBALLS,10,PARSLEY,0.5,CUP,PRODUCE,
MEATBALLS,10,GLUTEN FREE PANKO,0.5,CUP,BULK GOODS,
MEATBALLS,10,GARLIC,2,CLOVE,PRODUCE,
MEATBALLS,10,FRANKS RED HOT,1,TBSP,CONDIMENTS,
MEATBALLS,10,WORCESTERSHIRE,1,TBSP,CONDIMENTS,
MEATBALLS,10,WHOLE MILK,0.5,CUP,DAIRY,
LEMON VIN,40,SHALLOT,1,TBSP,PRODUCE,BLEND ALL INGREDIENTS TOGETHER EXCLUDING OIL UNTIL SMOOTH. SLOWLY STREAM IN OIL WHILE IMMERSION BLENDING. 
LEMON VIN,40,DIJON ,0.5,CUP,CONDIMENTS,
LEMON VIN,40,LEMON JUICE,1,CUP,BULK GOODS,
LEMON VIN,40,LEMON ZEST,1,LEMON,PRODUCE,
LEMON VIN,40,CHAMPAGNE VINEGAR,0.5,CUP,CONDIMENTS,
LEMON VIN,40,SALT,1,TBSP,SEASONING,
LEMON VIN,40,GROUND BLACK PEPPER,1,TSP,SEASONING,
LEMON VIN,40,HONEY,0.5,CUP,CONDIMENTS,
LEMON VIN,40,BOTTLED WATER,1,CUP,BULK GOODS,
LEMON VIN,40,CANOLA OIL,1,QUART,BULK GOODS,
CREAMY PESTO PASTA,5,RIGATONI,1,LB,BULK GOODS,"CUT SNAP PEAS IN HALF, CHIFFONADE PARSLEY AND SCALLION. COOK CHICKEN THIGHS IN A SAUTE PAN AND SET TO THE SIDE. ADD PESTO AND HEAVY CREAM TO THE SAME PAN YOU COOKED YOUR CHICKEN IN. BRING TO A SIMMER AND REDUCE BY 1/3. BOIL PASTA IN SALTED WATER FOR 2 MINUTES LESS THAN SUGGESTED COOKING TIME ON PACKAGE. RESERVE PASTA WATER AND ADD COOKED PASTA TO YOUR SAUCE. SLICE YOUR CHICKEN THIN AND ADD ALL INGREDIENTS TO THE PAN BESIDES LEMON. COOK PASTA THE REST OF THE WAY IN THE SAUCE. FINISH WITH LEMON JUICE AND PARMESAN."
CREAMY PESTO PASTA,5,PESTO,1,PINT,CONDIMENTS,
CREAMY PESTO PASTA,5,HEAVY CREAM,1,PINT,DAIRY,
CREAMY PESTO PASTA,5,SNAP PEAS,1,CUP,PRODUCE,
CREAMY PESTO PASTA,5,PARSLEY,0.5,CUP,PRODUCE,
CREAMY PESTO PASTA,5,CHICKEN THIGH,1,PINT,PROTEINS,
CREAMY PESTO PASTA,5,SCALLION,0.5,CUP,PRODUCE,
CREAMY PESTO PASTA,5,PARMESAN CHEESE,1,CUP,DAIRY,
CREAMY PESTO PASTA,5,LEMON JUICE,0.25,CUP,PRODUCE,
MISO EGGPLANT DRESSING,10,SAKE,1,CUP,CONDIMENTS,COOK ALL INGREDIENTS DOWN UNTIL ALCOHOL IN THE SAKE IS COOKED OUT.
